"","LC","YEAR","T_MAPCODE","BIOME","n","LC7_text","km2"
"1","1",1750,"AT15","Albany Thicket",36502,"Natural",14.6008
"2","1",1750,"AT16","Albany Thicket",134423,"Natural",53.7692
"3","1",1750,"AT17","Albany Thicket",1823007,"Natural",729.2028
"4","1",1750,"AT18","Albany Thicket",2939078,"Natural",1175.6312
"5","1",1750,"AT19","Albany Thicket",2694668,"Natural",1077.8672
"6","1",1750,"AT20","Albany Thicket",88791,"Natural",35.5164
"7","1",1750,"AT21","Albany Thicket",965767,"Natural",386.3068
"8","1",1750,"AT22","Albany Thicket",538720,"Natural",215.488
"9","1",1750,"AT23","Albany Thicket",777982,"Natural",311.1928
"10","1",1750,"AT24","Albany Thicket",7440337,"Natural",2976.1348
"11","1",1750,"AT25","Albany Thicket",5322414,"Natural",2128.9656
"12","1",1750,"AT26","Albany Thicket",101206,"Natural",40.4824
"13","1",1750,"AT27","Albany Thicket",3099948,"Natural",1239.9792
"14","1",1750,"AT28","Albany Thicket",2576276,"Natural",1030.5104
"15","1",1750,"AT29","Albany Thicket",1961535,"Natural",784.614
"16","1",1750,"AT30","Albany Thicket",1685146,"Natural",674.0584
"17","1",1750,"AT31","Albany Thicket",602004,"Natural",240.8016
"18","1",1750,"AT32","Albany Thicket",8990460,"Natural",3596.184
"19","1",1750,"AT33","Albany Thicket",1229514,"Natural",491.8056
"20","1",1750,"AT34","Albany Thicket",418817,"Natural",167.5268
"21","1",1750,"AT35","Albany Thicket",75369,"Natural",30.1476
"22","1",1750,"AT36","Albany Thicket",128529,"Natural",51.4116
"23","1",1750,"AT37","Albany Thicket",441616,"Natural",176.6464
"24","1",1750,"AT38","Albany Thicket",3227135,"Natural",1290.854
"25","1",1750,"AT39","Albany Thicket",614649,"Natural",245.8596
"26","1",1750,"AT40","Albany Thicket",1490793,"Natural",596.3172
"27","1",1750,"AT41","Albany Thicket",768804,"Natural",307.5216
"28","1",1750,"AT42","Albany Thicket",149641,"Natural",59.8564
"29","1",1750,"AT43","Albany Thicket",715508,"Natural",286.2032
"30","1",1750,"AT44","Albany Thicket",408644,"Natural",163.4576
"31","1",1750,"AT45","Albany Thicket",1742563,"Natural",697.0252
"32","1",1750,"AT46","Albany Thicket",1429644,"Natural",571.8576
"33","1",1750,"AT47","Albany Thicket",2276439,"Natural",910.5756
"34","1",1750,"AT48","Albany Thicket",50942,"Natural",20.3768
"35","1",1750,"AT49","Albany Thicket",14117792,"Natural",5647.1168
"36","1",1750,"AT50","Albany Thicket",1443856,"Natural",577.5424
"37","1",1750,"AT51","Albany Thicket",4908507,"Natural",1963.4028
"38","1",1750,"AT52","Albany Thicket",108992,"Natural",43.5968
"39","1",1750,"AT53","Albany Thicket",67757,"Natural",27.1028
"40","1",1750,"AT54","Albany Thicket",469301,"Natural",187.7204
"41","1",1750,"AT55","Albany Thicket",1900968,"Natural",760.3872
"42","1",1750,"AT56","Albany Thicket",1754044,"Natural",701.6176
"43","1",1750,"AT57","Albany Thicket",342662,"Natural",137.0648
"44","1",1750,"AT58","Albany Thicket",5630862,"Natural",2252.3448
"45","1",1750,"AZa1","Azonal",46761,"Natural",18.7044
"46","1",1750,"AZa2","Azonal",876990,"Natural",350.796
"47","1",1750,"AZa3","Azonal",2168968,"Natural",867.5872
"48","1",1750,"AZa4","Azonal",4468366,"Natural",1787.3464
"49","1",1750,"AZa5","Azonal",8087919,"Natural",3235.1676
"50","1",1750,"AZa6","Azonal",1633516,"Natural",653.4064
"51","1",1750,"AZa7","Azonal",3186913,"Natural",1274.7652
"52","1",1750,"AZd1","Azonal",16101,"Natural",6.4404
"53","1",1750,"AZd2","Azonal",33040,"Natural",13.216
"54","1",1750,"AZd3","Azonal",550304,"Natural",220.1216
"55","1",1750,"AZd4","Azonal",70197,"Natural",28.0788
"56","1",1750,"AZi1","Azonal",3409762,"Natural",1363.9048
"57","1",1750,"AZi3","Azonal",4798214,"Natural",1919.2856
"58","1",1750,"AZi5","Azonal",12942488,"Natural",5176.9952
"59","1",1750,"AZi6","Azonal",13257340,"Natural",5302.936
"60","1",1750,"AZi7","Azonal",5325264,"Natural",2130.1056
"61","1",1750,"AZi8","Azonal",1017948,"Natural",407.1792
"62","1",1750,"AZs3","Azonal",32416,"Natural",12.9664
"63","1",1750,"CB1","IOCB",5888711,"Natural",2355.4844
"64","1",1750,"CB2","IOCB",2805253,"Natural",1122.1012
"65","1",1750,"CB3","IOCB",10354517,"Natural",4141.8068
