"","T_MAPCODE","nat","notnat","prclost_alt","A3","ext_wc","ext_kzn","ext_mpl"
"1","AT15",14.5708,0.0256,0,"LC",0,0,0
"2","AT16",51.1648,2.6124,5,"LC",0,0,0
"3","AT17",576.5092,152.7132,21,"LC",0,0,0
"4","AT18",1034.7616,140.9924,12,"LC",0,0,0
"5","AT19",1061.97,15.99,1,"LC",0.000954766410627482,0,0
"6","AT20",19.9652,15.546,44,"LC",0,0,0
"7","AT21",310.796,75.5156,20,"LC",0,0,0
"8","AT22",92.4828,122.9512,57,"EN",0,0,0
"9","AT23",268.1736,43.0036,14,"LC",0,0,0
"10","AT24",2598.1348,377.9484,13,"LC",0,0,0
"11","AT25",2109.2636,19.7588,1,"LC",2.12304013334947e-05,0,0
"12","AT26",30.2672,10.166,25,"LC",0,0,0
"13","AT27",1230.8236,9.0536,1,"LC",2.51637823487681e-05,0,0
"14","AT28",908.0664,122.4328,12,"LC",0,0,0
"15","AT29",768.0192,16.602,2,"LC",0,0,0
"16","AT30",625.3912,48.6252,7,"LC",0,0,0
"17","AT31",210.2104,30.624,13,"LC",0,0,0
"18","AT32",3450.6848,145.5324,4,"LC",0,0,0
"19","AT33",483.0792,8.79,2,"LC",0.846346955654064,0,0
"20","AT34",160.2736,7.2468,4,"LC",1,0,0
"21","AT35",18.3908,11.7556,39,"LC",0,0,0
"22","AT36",32.3584,19.0596,37,"LC",1,0,0
"23","AT37",110.972,65.7076,37,"LC",1,0,0
"24","AT38",849.7976,440.9808,34,"LC",0,0,0
"25","AT39",216.9548,28.8968,12,"LC",0,0,0
"26","AT40",489.4196,106.854,18,"LC",1,0,0
"27","AT41",208.4012,99.1232,32,"LC",0,0,0
"28","AT42",51.736,8.1116,14,"LC",0,0,0
"29","AT43",267.8228,18.362,6,"LC",1,0,0
"30","AT44",63.2128,100.2312,61,"EN",0,0,0
"31","AT45",430.3464,266.692,38,"LC",0,0,0
"32","AT46",553.1908,18.7376,3,"LC",1,0,0
"33","AT47",886.0956,24.4512,3,"LC",0,0,0
"34","AT48",11.6748,8.6808,43,"LC",0,0,0
"35","AT49",5523.88,123.0452,2,"LC",0.00396796472529865,0,0
"36","AT50",515.1804,62.3812,11,"LC",0,0,0
"37","AT51",1693.8812,269.4996,14,"LC",0,0,0
"38","AT52",30.1792,13.4192,31,"LC",0,0,0
"39","AT53",16.5452,10.5648,39,"LC",0,0,0
"40","AT54",184.904,2.8412,2,"LC",0,0,0
"41","AT55",737.954,22.4356,3,"LC",1,0,0
"42","AT56",466.3452,235.2652,34,"LC",0,0,0
"43","AT57",105.4896,31.5396,23,"LC",0,0,0
