"","lc18","lc22","biome","n","km2"
"1","1","1","<Null>",34300,13.72
"2","2","1","<Null>",0,0
"3","3","1","<Null>",0,0
"4","4","1","<Null>",0,0
"5","5","1","<Null>",0,0
"6","6","1","<Null>",0,0
"7","7","1","<Null>",0,0
"8","1","2","<Null>",24,0.0096
"9","2","2","<Null>",2321,0.9284
"10","3","2","<Null>",28,0.0112
"11","4","2","<Null>",44,0.0176
"12","5","2","<Null>",1,4e-04
"13","6","2","<Null>",0,0
"14","7","2","<Null>",0,0
"15","1","3","<Null>",62,0.0248
"16","2","3","<Null>",2,8e-04
"17","3","3","<Null>",39,0.0156
"18","4","3","<Null>",2,8e-04
"19","5","3","<Null>",0,0
"20","6","3","<Null>",0,0
"21","7","3","<Null>",0,0
"22","1","4","<Null>",21,0.0084
"23","2","4","<Null>",28,0.0112
"24","3","4","<Null>",1,4e-04
"25","4","4","<Null>",611,0.2444
"26","5","4","<Null>",0,0
"27","6","4","<Null>",0,0
"28","7","4","<Null>",0,0
"29","1","5","<Null>",5,0.002
"30","2","5","<Null>",18,0.0072
"31","3","5","<Null>",0,0
"32","4","5","<Null>",0,0
"33","5","5","<Null>",331,0.1324
"34","6","5","<Null>",0,0
"35","7","5","<Null>",0,0
"36","1","6","<Null>",0,0
"37","2","6","<Null>",0,0
"38","3","6","<Null>",0,0
"39","4","6","<Null>",0,0
"40","5","6","<Null>",0,0
"41","6","6","<Null>",0,0
"42","7","6","<Null>",0,0
"43","1","7","<Null>",0,0
"44","2","7","<Null>",0,0
"45","3","7","<Null>",0,0
"46","4","7","<Null>",0,0
"47","5","7","<Null>",0,0
"48","6","7","<Null>",0,0
"49","7","7","<Null>",56,0.0224
"50","1","1","Albany Thicket",79148990,31659.596
"51","2","1","Albany Thicket",5,0.002
"52","3","1","Albany Thicket",17,0.0068
"53","4","1","Albany Thicket",0,0
"54","5","1","Albany Thicket",6,0.0024
"55","6","1","Albany Thicket",1,4e-04
"56","7","1","Albany Thicket",0,0
"57","1","2","Albany Thicket",28314,11.3256
"58","2","2","Albany Thicket",2457114,982.8456
"59","3","2","Albany Thicket",18536,7.4144
"60","4","2","Albany Thicket",83558,33.4232
"61","5","2","Albany Thicket",14521,5.8084
"62","6","2","Albany Thicket",6975,2.79
"63","7","2","Albany Thicket",5910,2.364
"64","1","3","Albany Thicket",9154,3.6616
"65","2","3","Albany Thicket",25922,10.3688
"66","3","3","Albany Thicket",132682,53.0728
"67","4","3","Albany Thicket",419,0.1676
"68","5","3","Albany Thicket",901,0.3604
"69","6","3","Albany Thicket",443,0.1772
"70","7","3","Albany Thicket",33,0.0132
"71","1","4","Albany Thicket",69257,27.7028
"72","2","4","Albany Thicket",14169,5.6676
"73","3","4","Albany Thicket",343,0.1372
"74","4","4","Albany Thicket",1430505,572.202
"75","5","4","Albany Thicket",39530,15.812
"76","6","4","Albany Thicket",316,0.1264
"77","7","4","Albany Thicket",260,0.104
"78","1","5","Albany Thicket",48199,19.2796
"79","2","5","Albany Thicket",74737,29.8948
"80","3","5","Albany Thicket",265,0.106
"81","4","5","Albany Thicket",1611,0.6444
"82","5","5","Albany Thicket",3900877,1560.3508
"83","6","5","Albany Thicket",129,0.0516
"84","7","5","Albany Thicket",1537,0.6148
"85","1","6","Albany Thicket",4099,1.6396
"86","2","6","Albany Thicket",2425,0.97
"87","3","6","Albany Thicket",282,0.1128
"88","4","6","Albany Thicket",332,0.1328
"89","5","6","Albany Thicket",102,0.0408
"90","6","6","Albany Thicket",16701,6.6804
"91","7","6","Albany Thicket",0,0
"92","1","7","Albany Thicket",7948,3.1792
"93","2","7","Albany Thicket",9955,3.982
"94","3","7","Albany Thicket",24,0.0096
"95","4","7","Albany Thicket",368,0.1472
"96","5","7","Albany Thicket",102,0.0408
"97","6","7","Albany Thicket",0,0
"98","7","7","Albany Thicket",134038,53.6152
"99","1","1","Azonal Vegetation",50053076,20021.2304
"100","2","1","Azonal Vegetation",13,0.0052
"101","3","1","Azonal Vegetation",34,0.0136
"102","4","1","Azonal Vegetation",0,0
"103","5","1","Azonal Vegetation",0,0
"104","6","1","Azonal Vegetation",61,0.0244
"105","7","1","Azonal Vegetation",9,0.0036
"106","1","2","Azonal Vegetation",53764,21.5056
"107","2","2","Azonal Vegetation",2609531,1043.8124
"108","3","2","Azonal Vegetation",43350,17.34
"109","4","2","Azonal Vegetation",81524,32.6096
"110","5","2","Azonal Vegetation",18518,7.4072
"111","6","2","Azonal Vegetation",43503,17.4012
"112","7","2","Azonal Vegetation",17957,7.1828
"113","1","3","Azonal Vegetation",185642,74.2568
"114","2","3","Azonal Vegetation",98598,39.4392
"115","3","3","Azonal Vegetation",772453,308.9812
"116","4","3","Azonal Vegetation",529,0.2116
"117","5","3","Azonal Vegetation",29773,11.9092
"118","6","3","Azonal Vegetation",2986,1.1944
"119","7","3","Azonal Vegetation",1234,0.4936
"120","1","4","Azonal Vegetation",32074,12.8296
"121","2","4","Azonal Vegetation",9056,3.6224
