"","T_MAPCODE","deg80","nat","notnat","prcdeg_lk","D3_lk","ext_lk"
"1","AT15",0,14.5708,0.0256,0,"LC",0
"2","AT16",0,51.1648,2.6124,0,"LC",0
"3","AT17",0,576.5092,152.7132,0,"LC",0
"4","AT18",0,1034.7616,140.9924,0,"LC",0
"5","AT19",0,1061.9532,16.0068,0,"LC",0
"6","AT20",0,19.9652,15.546,0,"LC",0
"7","AT21",0,310.796,75.5156,0,"LC",0
"8","AT22",0,92.4828,122.9512,0,"LC",0
"9","AT23",0,268.1736,43.0036,0,"LC",0
"10","AT24",0,2598.1348,377.9484,0,"LC",0
"11","AT25",0,2109.2636,19.7588,0,"LC",0
"12","AT26",0,30.2672,10.166,0,"LC",0
"13","AT27",0,1230.8236,9.0536,0,"LC",0
"14","AT28",0,908.0664,122.4328,0,"LC",0
"15","AT29",0,768.0192,16.602,0,"LC",0
"16","AT30",0,625.3912,48.6252,0,"LC",0
"17","AT31",0,210.2104,30.624,0,"LC",0
"18","AT32",0,3450.6848,145.5324,0,"LC",0
"19","AT33",2.3712,481.8484,7.6496,0,"LC",0.300192002264017
"20","AT34",10.9312,150.9148,5.6744,7,"LC",1
"21","AT35",0,18.3908,11.7556,0,"LC",0
"22","AT36",0,29.8892,21.5288,0,"LC",0
"23","AT37",0,106.3112,70.3684,0,"LC",0
"24","AT38",0,849.7976,440.9808,0,"LC",0
"25","AT39",0,216.9548,28.8968,0,"LC",0
"26","AT40",0,463.2412,133.0324,0,"LC",0
"27","AT41",0,208.4012,99.1232,0,"LC",0
"28","AT42",0,51.736,8.1116,0,"LC",0
"29","AT43",24.9776,240.9912,20.216,9,"LC",0.975791865955145
"30","AT44",0,63.2128,100.2312,0,"LC",0
"31","AT45",0,430.3464,266.692,0,"LC",0
"32","AT46",93.5628,460.4388,17.9268,17,"LC",0.885007284128573
"33","AT47",0,886.0956,24.4512,0,"LC",0
"34","AT48",0,11.6748,8.6808,0,"LC",0
"35","AT49",0,5523.842,123.0832,0,"LC",0
"36","AT50",0,515.1804,62.3812,0,"LC",0
"37","AT51",0,1693.8812,269.4996,0,"LC",0
"38","AT52",0,30.1792,13.4192,0,"LC",0
"39","AT53",0,16.5452,10.5648,0,"LC",0
"40","AT54",0,184.904,2.8412,0,"LC",0
"41","AT55",99.8016,643.6124,16.9756,13,"LC",0.995318715563706
"42","AT56",0,466.3452,235.2652,0,"LC",0
"43","AT57",0,105.4896,31.5396,0,"LC",0
"44","AT58",10.4916,2211.002,30.802,0,"LC",0.155077512916155
"45","AZa1",0,18.2292,0.5012,0,"LC",0
"46","AZa2",0,116.1188,234.7356,0,"LC",0
"47","AZa3",0,530.6584,340.1524,0,"LC",0
"48","AZa4",0,1248.0948,539.2068,0,"LC",0
"49","AZa5",0,2106.012,1129.1668,0,"LC",0
"50","AZa6",0,286.04,367.4168,0,"LC",0
"51","AZa7",0,858.7384,427.5016,0,"LC",0
"52","AZd1",0,0.3296,6.1072,0,"LC",0
"53","AZd2",0,9.5772,3.6472,0,"LC",0
"54","AZd3",0,215.2472,5.0356,0,"LC",0
"55","AZd4",0,26.378,1.6956,0,"LC",0
"56","AZi1",0,1200.004,163.8396,0,"LC",0
"57","AZi3",0,1914.22,21.8292,0,"LC",0
"58","AZi5",0,4814.3428,362.732,0,"LC",0
"59","AZi6",0,4533.8832,768.9684,0,"LC",0
"60","AZi7",0,1983.6664,146.4948,0,"LC",0
"61","AZi8",16.0552,128.7036,262.5056,11,"LC",0.907742488663384
"62","AZs3",0,12.0236,0.9528,0,"LC",0
"63","CB1",0,833.1592,1522.5356,0,"LC",0
"64","CB2",0,401.022,721.1212,0,"LC",0
"65","CB3",0,672.9452,3468.8424,0,"LC",0
"66","CB4",0,641.22,658.6616,0,"LC",0
"67","CB5",0,899.5028,750.9076,0,"LC",0
"68","CB6",0,411.2684,709.9328,0,"LC",0
"69","Dg1",0,332.9224,3.002,0,"LC",0
"70","Dg10",0,2084.3664,10.3504,0,"LC",0
"71","Dg2",0,361.4112,0.0368,0,"LC",0
"72","Dg3",0,156.4612,3.5964,0,"LC",0
"73","Dg4",0,107.1836,0.612,0,"LC",0
"74","Dg5",0,591.9436,0.3512,0,"LC",0
"75","Dg6",0,8.1024,0.1164,0,"LC",0
"76","Dg7",0,244.1464,2.8744,0,"LC",0
"77","Dg8",0,342.9296,0.2688,0,"LC",0
"78","Dg9",0,1198.3564,19.6668,0,"LC",0
"79","Dn1",0,1.338,15.754,0,"LC",0
"80","Dn2",0,1.0028,0.5396,0,"LC",0
"81","Dn3",0,122.5608,17.3428,0,"LC",0
"82","Dn4",0,194.9116,22.1276,0,"LC",0
"83","Dn5",0,384.3792,33.8996,0,"LC",0
"84","FFa1",0,52.9052,127.1408,0,"LC",0
"85","FFa2",0,169.1784,332.466,0,"LC",0
"86","FFa3",0,136.9976,340.1984,0,"LC",0
"87","FFa4",0,5.1184,30.7304,0,"LC",0
"88","FFb1",0,258.1292,20.8796,0,"LC",0
"89","FFb2",0,128.2048,6.3252,0,"LC",0
"90","FFb3",0.2236,97.4536,0.1732,0,"LC",0.656827156557357
"91","FFb4",0,54.0232,7.9092,0,"LC",0.0036168467554947
"92","FFb5",0,95.758,12.6268,0,"LC",0
"93","FFb6",0,29.5832,48.4588,0,"LC",0
"94","FFc1",0,388.2908,480.8652,0,"LC",0
"95","FFd1",0,1106.754,194.1996,0,"LC",0
"96","FFd10",0,29.9496,121.7208,0,"LC",0
"97","FFd11",0,60.1512,16.4644,0,"LC",0
"98","FFd2",0,757.1752,1298.5,0,"LC",0
"99","FFd3",0,638.3664,371.268,0,"LC",0
"100","FFd4",0,330.818,358.2216,0,"LC",0
"101","FFd5",0,88.8448,468.0972,0,"LC",0
"102","FFd6",0,51.386,37.2036,0,"LC",0
"103","FFd7",0,119.6108,127.8104,0,"LC",0
"104","FFd8",0,43.4956,54.1948,0,"LC",0
"105","FFd9",0,264.7892,252.4444,0,"LC",0
"106","FFf1",0,233.478,460.532,0,"LC",0
"107","FFf2",0,19.4136,21.1532,0,"LC",0
"108","FFg1",0,63.9948,0.7924,0,"LC",0
"109","FFg2",0,279.7648,244.2276,0,"LC",0
"110","FFg3",0,31.2996,60.5148,0,"LC",0
"111","FFg4",0,14.1084,2.8308,0,"LC",0
"112","FFg5",0,177.8544,320.3424,0,"LC",0
"113","FFh1",0,198.8644,229.1308,0,"LC",0
"114","FFh10",0,277.8132,5.3428,0,"LC",0
"115","FFh11",0,5.3636,7.2584,0,"LC",0
"116","FFh2",0.45,100.8356,5.2372,0,"LC",0.75290548126786
"117","FFh3",2.1244,61.538,11.4532,3,"LC",0.390997342762356
"118","FFh4",0,203.2052,113.6664,0,"LC",0
"119","FFh5",0,35.7336,48.2708,0,"LC",0
"120","FFh6",0,67.0852,212.3816,0,"LC",0
"121","FFh7",0,147.9472,118.6636,0,"LC",0
"122","FFh8",7.336,137.2204,42.18,5,"LC",0.68017376365829
"123","FFh9",0,243.7484,319.8868,0,"LC",0
"124","FFl1",0,257.546,29.424,0,"LC",0
"125","FFl2",0,661.6284,32.6952,0,"LC",0
"126","FFl3",0,622.228,169.4872,0,"LC",0
"127","FFq1",0,49.04,0,0,"LC",0
"128","FFq2",0,1617.3732,28.8256,0,"LC",0
"129","FFq3",26.822,1223.5484,17.836,2,"LC",0.495843894180001
"130","FFq4",0,91.2848,6.5452,0,"LC",0
"131","FFq5",0,388.3888,0.5012,0,"LC",0
"132","FFq6",0,668.7256,14.5924,0,"LC",0
"133","FFs1",0,800.538,213.6148,0,"LC",0
"134","FFs10",0,1008.6312,42.0128,0,"LC",0
"135","FFs11",0,763.5124,150.7196,0,"LC",0
"136","FFs12",0,1050.3776,129.0648,0,"LC",0
"137","FFs13",0,520.8264,10.6664,0,"LC",0
"138","FFs14",0,332.8404,26.0676,0,"LC",0
"139","FFs15",1.0524,905.9892,86.5488,0,"LC",0.172885728364525
"140","FFs16",7.0656,1166.092,42.1172,1,"LC",0.102308383256199
"141","FFs17",0,100.3284,7.1444,0,"LC",0
"142","FFs18",12.238,721.7092,144.856,2,"LC",0.559041660294364
"143","FFs19",0,1047.6228,523.4984,0,"LC",0
"144","FFs2",0,937.5512,405.6872,0,"LC",0
"145","FFs20",0.1032,1568.3232,730.0468,0,"LC",0.016016371215466
"146","FFs21",9.8108,308.2396,0.2808,3,"LC",1
"147","FFs22",2.3016,383.8944,2.1076,1,"LC",1
"148","FFs23",2.2384,844.0048,5.9536,0,"LC",0.446942302529181
"149","FFs24",9.5588,1072.66,2.554,1,"LC",0.59234855446228
"150","FFs25",0.0872,330.8456,1.666,0,"LC",1
"151","FFs26",0,286.8216,17.3552,0,"LC",1
"152","FFs27",1.3456,2154.386,247.22,0,"LC",0.111581773016152
"153","FFs28",1.4076,3694.5236,356.2124,0,"LC",0.00545903654549656
"154","FFs29",0,131.7476,202.4408,0,"LC",0
"155","FFs3",0,469.3752,28.896,0,"LC",0
"156","FFs30",0,37.482,0.0452,0,"LC",0
"157","FFs31",0,50.7648,0.0456,0,"LC",0.474721710515957
"158","FFs32",0,354.3096,193.65,0,"LC",0
"159","FFs4",0,2232.8188,290.7888,0,"LC",0
"160","FFs5",0,1051.2104,84.7752,0,"LC",0
"161","FFs6",0,370.7256,52.1072,0,"LC",0
"162","FFs7",0,371.214,22.8752,0,"LC",0
"163","FFs8",0,315.4876,4.2368,0,"LC",0
"164","FFs9",0,203.342,16.0784,0,"LC",0
"165","FFt1",85.5356,310.5904,8.8696,22,"LC",0.842748908877035
"166","FFt2",0,181.5536,29.6272,0,"LC",0
"167","FOa1",0,133.146,43.392,0,"LC",0
"168","FOa2",0,72.7476,27.8,0,"LC",0
"169","FOa3",0,20.5712,3.2712,0,"LC",0
"170","FOz1",0,631.0328,156.988,0,"LC",0
"171","FOz2",0,182.3336,31.7092,0,"LC",0
"172","FOz3",0,882.4244,179.7128,0,"LC",0
"173","FOz4",0,288.9704,100.2616,0,"LC",0
"174","FOz5",0,946.504,83.0284,0,"LC",0
"175","FOz6",0,150.9744,34.26,0,"LC",0
"176","FOz7",0,515.1956,165.244,0,"LC",0
"177","FOz8",0,244.0836,21.3348,0,"LC",0
"178","FOz9",0,81.2324,0.4108,0,"LC",0
"179","FRa1",0,174.562,323.0788,0,"LC",0
"180","FRa2",0,36.6052,26.472,0,"LC",0
"181","FRc1",0,12.826,88.2112,0,"LC",0
"182","FRc2",0,28.7048,181.1,0,"LC",0
"183","FRd1",0,197.2368,22.2924,0,"LC",0
"184","FRd2",0,565.3604,13.5596,0,"LC",0
"185","FRg1",0,252.8504,52.6752,0,"LC",0
"186","FRg2",0,154.0544,797.232,0,"LC",0
"187","FRg3",0,18.8252,0.3464,0,"LC",0
"188","FRl1",93.2184,341.0688,67.3972,21,"LC",0.968718182187846
"189","FRs1",0,196.0692,11.2412,0,"LC",0
"190","FRs10",0,2.528,22.7524,0,"LC",0
"191","FRs11",0,153.2528,1040.412,0,"LC",0
"192","FRs12",0,195.594,1831.9028,0,"LC",0
"193","FRs13",0,397.8656,2364.6276,0,"LC",0
"194","FRs14",0,326.1748,540.3468,0,"LC",0
"195","FRs15",0,264.1892,12.2028,0,"LC",0.0287953341630727
"196","FRs16",50.6484,1055.4228,241.6996,5,"LC",0.487656506581089
"197","FRs17",0.2972,63.908,142.9548,0,"LC",0.37326510909442
"198","FRs18",0,118.6756,0.046,0,"LC",0
"199","FRs19",0,155.77,217.4216,0,"LC",0
"200","FRs2",0,104.3336,114.4816,0,"LC",0
"201","FRs20",0,11.4056,35.568,0,"LC",0
"202","FRs3",0,3148.3892,69.0672,0,"LC",0
"203","FRs4",0,211.3236,280.428,0,"LC",0
"204","FRs5",0,1199.0472,37.4068,0,"LC",0
"205","FRs6",17.6148,1792.376,285.8528,1,"LC",0.340451358107065
"206","FRs7",310.6664,1003.1544,294.1244,24,"LC",0.872286194828033
"207","FRs8",0,616.4332,433.3724,0,"LC",0
"208","FRs9",0,485.7452,4478.0244,0,"LC",0
"209","FS1",0,235.7652,118.5092,0,"LC",0
"210","FS10",0,305.588,17.2892,0,"LC",0
"211","FS11",0,39.4448,0.152,0,"LC",0
"212","FS12",0,91.2212,27.848,0,"LC",0
"213","FS13",0,35.2692,6.3856,0,"LC",0
"214","FS14",0,85.0144,11.9436,0,"LC",0
"215","FS2",0,78.3992,220.4612,0,"LC",0
"216","FS3",0,580.7604,1062.5928,0,"LC",0
"217","FS4",0,49.5512,11.9968,0,"LC",0
"218","FS5",0,292.9956,51.3368,0,"LC",0
"219","FS6",0,183.3724,215.5592,0,"LC",0
"220","FS7",0,37.5364,9.2584,0,"LC",0
"221","FS9",0,12.4096,15.6008,0,"LC",0
"222","Gd1",0,4203.0248,823.9112,0,"LC",0
