"","nlc2022_7class","T_MAPCODE","littlekaroo_deg2","easternlittlekaroo_deg2","n"
"1","1","AT15","0","0",0
"2","2","AT15","0","0",0
"3","3","AT15","0","0",0
"4","4","AT15","0","0",0
"5","5","AT15","0","0",0
"6","6","AT15","0","0",0
"7","7","AT15","0","0",0
"8","1","AT16","0","0",0
"9","2","AT16","0","0",0
"10","3","AT16","0","0",0
"11","4","AT16","0","0",0
"12","5","AT16","0","0",0
"13","6","AT16","0","0",0
"14","7","AT16","0","0",0
"15","1","AT17","0","0",0
"16","2","AT17","0","0",0
"17","3","AT17","0","0",0
"18","4","AT17","0","0",0
"19","5","AT17","0","0",0
"20","6","AT17","0","0",0
"21","7","AT17","0","0",0
"22","1","AT18","0","0",0
"23","2","AT18","0","0",0
"24","3","AT18","0","0",0
"25","4","AT18","0","0",0
"26","5","AT18","0","0",0
"27","6","AT18","0","0",0
"28","7","AT18","0","0",0
"29","1","AT19","0","0",0
"30","2","AT19","0","0",0
"31","3","AT19","0","0",0
"32","4","AT19","0","0",0
"33","5","AT19","0","0",0
"34","6","AT19","0","0",0
"35","7","AT19","0","0",0
"36","1","AT20","0","0",0
"37","2","AT20","0","0",0
"38","3","AT20","0","0",0
"39","4","AT20","0","0",0
"40","5","AT20","0","0",0
"41","6","AT20","0","0",0
"42","7","AT20","0","0",0
"43","1","AT21","0","0",0
"44","2","AT21","0","0",0
"45","3","AT21","0","0",0
"46","4","AT21","0","0",0
"47","5","AT21","0","0",0
"48","6","AT21","0","0",0
"49","7","AT21","0","0",0
"50","1","AT22","0","0",0
"51","2","AT22","0","0",0
"52","3","AT22","0","0",0
"53","4","AT22","0","0",0
"54","5","AT22","0","0",0
"55","6","AT22","0","0",0
"56","7","AT22","0","0",0
"57","1","AT23","0","0",0
"58","2","AT23","0","0",0
"59","3","AT23","0","0",0
"60","4","AT23","0","0",0
"61","5","AT23","0","0",0
"62","6","AT23","0","0",0
"63","7","AT23","0","0",0
"64","1","AT24","0","0",0
"65","2","AT24","0","0",0
"66","3","AT24","0","0",0
"67","4","AT24","0","0",0
"68","5","AT24","0","0",0
"69","6","AT24","0","0",0
"70","7","AT24","0","0",0
"71","1","AT25","0","0",0
"72","2","AT25","0","0",0
"73","3","AT25","0","0",0
"74","4","AT25","0","0",0
"75","5","AT25","0","0",0
"76","6","AT25","0","0",0
"77","7","AT25","0","0",0
"78","1","AT26","0","0",0
"79","2","AT26","0","0",0
"80","3","AT26","0","0",0
"81","4","AT26","0","0",0
"82","5","AT26","0","0",0
"83","6","AT26","0","0",0
"84","7","AT26","0","0",0
"85","1","AT27","0","0",0
"86","2","AT27","0","0",0
"87","3","AT27","0","0",0
"88","4","AT27","0","0",0
"89","5","AT27","0","0",0
"90","6","AT27","0","0",0
"91","7","AT27","0","0",0
"92","1","AT28","0","0",0
"93","2","AT28","0","0",0
"94","3","AT28","0","0",0
"95","4","AT28","0","0",0
"96","5","AT28","0","0",0
"97","6","AT28","0","0",0
"98","7","AT28","0","0",0
"99","1","AT29","0","0",0
"100","2","AT29","0","0",0
"101","3","AT29","0","0",0
"102","4","AT29","0","0",0
"103","5","AT29","0","0",0
"104","6","AT29","0","0",0
"105","7","AT29","0","0",0
"106","1","AT30","0","0",0
"107","2","AT30","0","0",0
"108","3","AT30","0","0",0
"109","4","AT30","0","0",0
"110","5","AT30","0","0",0
"111","6","AT30","0","0",0
"112","7","AT30","0","0",0
"113","1","AT31","0","0",0
"114","2","AT31","0","0",0
"115","3","AT31","0","0",0
"116","4","AT31","0","0",0
"117","5","AT31","0","0",0
"118","6","AT31","0","0",0
"119","7","AT31","0","0",0
"120","1","AT32","0","0",0
"121","2","AT32","0","0",0
"122","3","AT32","0","0",0
"123","4","AT32","0","0",0
"124","5","AT32","0","0",0
"125","6","AT32","0","0",0
"126","7","AT32","0","0",0
"127","1","AT33","0","0",0
"128","2","AT33","0","0",0
"129","3","AT33","0","0",0
"130","4","AT33","0","0",0
"131","5","AT33","0","0",0
"132","6","AT33","0","0",0
"133","7","AT33","0","0",0
"134","1","AT34","0","0",0
"135","2","AT34","0","0",0
"136","3","AT34","0","0",0
"137","4","AT34","0","0",0
"138","5","AT34","0","0",0
"139","6","AT34","0","0",0
"140","7","AT34","0","0",0
"141","1","AT35","0","0",0
"142","2","AT35","0","0",0
"143","3","AT35","0","0",0
"144","4","AT35","0","0",0
"145","5","AT35","0","0",0
"146","6","AT35","0","0",0
"147","7","AT35","0","0",0
"148","1","AT36","0","0",0
"149","2","AT36","0","0",0
"150","3","AT36","0","0",0
"151","4","AT36","0","0",0
"152","5","AT36","0","0",0
"153","6","AT36","0","0",0
"154","7","AT36","0","0",0
"155","1","AT37","0","0",0
"156","2","AT37","0","0",0
"157","3","AT37","0","0",0
"158","4","AT37","0","0",0
"159","5","AT37","0","0",0
"160","6","AT37","0","0",0
"161","7","AT37","0","0",0
"162","1","AT38","0","0",0
"163","2","AT38","0","0",0
"164","3","AT38","0","0",0
"165","4","AT38","0","0",0
"166","5","AT38","0","0",0
"167","6","AT38","0","0",0
"168","7","AT38","0","0",0
"169","1","AT39","0","0",0
"170","2","AT39","0","0",0
"171","3","AT39","0","0",0
"172","4","AT39","0","0",0
"173","5","AT39","0","0",0
"174","6","AT39","0","0",0
"175","7","AT39","0","0",0
"176","1","AT40","0","0",0
"177","2","AT40","0","0",0
"178","3","AT40","0","0",0
"179","4","AT40","0","0",0
"180","5","AT40","0","0",0
"181","6","AT40","0","0",0
"182","7","AT40","0","0",0
"183","1","AT41","0","0",0
"184","2","AT41","0","0",0
"185","3","AT41","0","0",0
"186","4","AT41","0","0",0
"187","5","AT41","0","0",0
"188","6","AT41","0","0",0
"189","7","AT41","0","0",0
"190","1","AT42","0","0",0
"191","2","AT42","0","0",0
"192","3","AT42","0","0",0
"193","4","AT42","0","0",0
"194","5","AT42","0","0",0
"195","6","AT42","0","0",0
"196","7","AT42","0","0",0
"197","1","AT43","0","0",0
"198","2","AT43","0","0",0
"199","3","AT43","0","0",0
"200","4","AT43","0","0",0
"201","5","AT43","0","0",0
"202","6","AT43","0","0",0
"203","7","AT43","0","0",0
"204","1","AT44","0","0",0
"205","2","AT44","0","0",0
"206","3","AT44","0","0",0
"207","4","AT44","0","0",0
"208","5","AT44","0","0",0
"209","6","AT44","0","0",0
"210","7","AT44","0","0",0
"211","1","AT45","0","0",0
"212","2","AT45","0","0",0
"213","3","AT45","0","0",0
"214","4","AT45","0","0",0
"215","5","AT45","0","0",0
"216","6","AT45","0","0",0
"217","7","AT45","0","0",0
"218","1","AT46","0","0",0
"219","2","AT46","0","0",0
"220","3","AT46","0","0",0
"221","4","AT46","0","0",0
"222","5","AT46","0","0",0
"223","6","AT46","0","0",0
"224","7","AT46","0","0",0
"225","1","AT47","0","0",0
"226","2","AT47","0","0",0
"227","3","AT47","0","0",0
"228","4","AT47","0","0",0
"229","5","AT47","0","0",0
"230","6","AT47","0","0",0
"231","7","AT47","0","0",0
"232","1","AT48","0","0",0
"233","2","AT48","0","0",0
"234","3","AT48","0","0",0
"235","4","AT48","0","0",0
"236","5","AT48","0","0",0
"237","6","AT48","0","0",0
"238","7","AT48","0","0",0
"239","1","AT49","0","0",0
"240","2","AT49","0","0",0
