"","T_MAPCODE","deg80","nat","notnat","prcdeg_lkk","D3_lkk","ext_lkk"
"1","AT15",0,14.5748,0.026,0,"LC",0
"2","AT16",0,51.1648,2.6044,0,"LC",0
"3","AT17",0,576.74,152.4628,0,"LC",0
"4","AT18",0,1034.7104,140.9208,0,"LC",0
"5","AT19",0,1061.8264,16.0408,0,"LC",0
"6","AT20",0,20.0016,15.5148,0,"LC",0
"7","AT21",0,310.8976,75.4092,0,"LC",0
"8","AT22",0,92.3968,123.0912,0,"LC",0
"9","AT23",0,268.2796,42.9132,0,"LC",0
"10","AT24",0,2598.0464,378.0884,0,"LC",0
"11","AT25",0,2109.2204,19.7452,0,"LC",0
"12","AT26",0,30.174,10.3084,0,"LC",0
"13","AT27",0,1230.8536,9.1256,0,"LC",0
"14","AT28",0,908.232,122.2784,0,"LC",0
"15","AT29",0,768.056,16.558,0,"LC",0
"16","AT30",0,625.3256,48.7328,0,"LC",0
"17","AT31",0,210.196,30.6056,0,"LC",0
"18","AT32",0,3450.6652,145.5188,0,"LC",0
"19","AT33",0,484.0704,7.7352,0,"LC",0.00017730582978315
"20","AT34",0,161.674,5.8528,0,"LC",0.0000334274874229079
"21","AT35",0,18.3744,11.7732,0,"LC",0
"22","AT36",0,29.7644,21.6472,0,"LC",0
"23","AT37",0,106.1272,70.5192,0,"LC",0
"24","AT38",0,849.7652,441.0888,0,"LC",0
"25","AT39",0,216.984,28.8756,0,"LC",0
"26","AT40",0,463.16,133.1572,0,"LC",0
"27","AT41",0,207.8656,99.656,0,"LC",0
"28","AT42",0,51.7304,8.126,0,"LC",0
"29","AT43",0,265.86,20.3432,0,"LC",0.00265964880895811
"30","AT44",0,63.2552,100.2024,0,"LC",0
"31","AT45",0,430.4944,266.5308,0,"LC",0
"32","AT46",0.0096,552.0592,19.7888,0,"LC",0.00115763085075725
"33","AT47",0,886.1536,24.422,0,"LC",0
"34","AT48",0,11.6912,8.6856,0,"LC",0
"35","AT49",0,5524.0148,123.102,0,"LC",0
"36","AT50",0,515.4424,62.1,0,"LC",0
"37","AT51",0,1693.7084,269.6944,0,"LC",0
"38","AT52",0,30.2416,13.3552,0,"LC",0
"39","AT53",0,16.5496,10.5532,0,"LC",0
"40","AT54",0,184.8992,2.8212,0,"LC",0
"41","AT55",0.0008,741.5968,18.7896,0,"LC",0.000943203673076033
"42","AT56",0,465.9492,235.6684,0,"LC",0
"43","AT57",0,105.5096,31.5552,0,"LC",0
"44","AT58",0.0004,2221.2948,31.0496,0,"LC",0.000833797738250378
"45","AZa1",0,18.1868,0.5176,0,"LC",0
"46","AZa2",0,116.1724,234.6236,0,"LC",0
"47","AZa3",0,530.9836,339.8328,0,"LC",0
"48","AZa4",0,1248.4128,538.9336,0,"LC",0
"49","AZa5",0,2106.648,1128.5196,0,"LC",0
"50","AZa6",0,286.0296,367.3768,0,"LC",0
"51","AZa7",0,859.3644,426.7712,0,"LC",0
"52","AZd1",0,0.3172,6.1232,0,"LC",0
"53","AZd2",0,9.5168,3.6992,0,"LC",0
"54","AZd3",0,215.2172,5.056,0,"LC",0
"55","AZd4",0,26.27,1.812,0,"LC",0
"56","AZi1",0,1200.1276,163.7772,0,"LC",0
