"","T_MAPCODE","deg80","nat","notnat","prpdeg","prplost","D3","A3","ext_nmb"
"1","AT15",0,14.5708,0.0256,0,0.00175385711545313,"LC","LC",0
"2","AT16",0,51.1648,2.6124,0,0.0485782078650432,"LC","LC",0
"3","AT17",0,576.5092,152.7132,0,0.209419238904345,"LC","LC",0
"4","AT18",0,1034.7616,140.9924,0,0.119916581189603,"LC","LC",0
"5","AT19",0,1061.9224,16.0376,0,0.0148777320123196,"LC","LC",0.00198857100448996
"6","AT20",3.1652,15.1968,17.1492,0.172377736629997,0.482923697312397,"LC","LC",1
"7","AT21",0,310.796,75.5156,0,0.195478468676581,"LC","LC",0
"8","AT22",0,92.4828,122.9512,0,0.570714000575582,"LC","VU",0
"9","AT23",0,268.1736,43.0036,0,0.138196500257731,"LC","LC",0
"10","AT24",0,2598.1348,377.9484,0,0.126995239918024,"LC","LC",0
"11","AT25",0,2109.2636,19.7588,0,0.00928069145726226,"LC","LC",0
"12","AT26",0,30.2672,10.166,0,0.25142704510155,"LC","LC",0
"13","AT27",0,1230.8236,9.0536,0,0.00730201345746176,"LC","LC",0
"14","AT28",0,908.0664,122.4328,0,0.118809214019768,"LC","LC",0
"15","AT29",0,768.0192,16.602,0,0.0211592549372869,"LC","LC",0
"16","AT30",0,625.3912,48.6252,0,0.072142458254725,"LC","LC",0
"17","AT31",0,210.2104,30.624,0,0.127157914317888,"LC","LC",0
"18","AT32",0,3450.6848,145.5324,0,0.0404681897411536,"LC","LC",0
"19","AT33",0,484.1856,7.6836,0,0.0156212261308494,"LC","LC",0
"20","AT34",0,161.6336,5.8868,0,0.0351407947927536,"LC","LC",0
"21","AT35",0,18.3908,11.7556,0,0.389950375500889,"LC","LC",0
"22","AT36",0,29.8892,21.5288,0,0.418701622000078,"LC","LC",0
"23","AT37",0,106.3112,70.3684,0,0.398282540825313,"LC","LC",0
"24","AT38",0,849.7976,440.9808,0,0.341639432454091,"LC","LC",0
"25","AT39",0.4144,199.3408,46.0964,0.00207453923602489,0.18749684769186,"LC","LC",0.818072365605918
"26","AT40",0,463.2412,133.0324,0,0.223106305561742,"LC","LC",0
"27","AT41",0.008,208.3328,99.1836,0.0000383986237933233,0.322522700637738,"LC","LC",0.00578295575895766
"28","AT42",0,50.0808,9.7668,0,0.163194514065727,"LC","LC",0.310421804717315
"29","AT43",0,265.7332,20.4516,0,0.0714629148717891,"LC","LC",0
"30","AT44",0.8856,33.292,129.2664,0.0259117082533589,0.790891069724187,"LC","EN",1
"31","AT45",0,430.3464,266.692,0,0.382607328376744,"LC","LC",0
"32","AT46",0,552.2116,19.7168,0,0.0344742453775682,"LC","LC",0
"33","AT47",0,886.0956,24.4512,0,0.0268533149531688,"LC","LC",0
"34","AT48",0.3244,7.2024,12.8288,0.0430993250783866,0.630234431802551,"LC","VU",1
"35","AT49",0,5523.842,123.0832,0,0.0217964990929931,"LC","LC",0
"36","AT50",0.7008,510.5716,66.2892,0.00137069789020491,0.114774250919729,"LC","LC",0.0980238298391029
"37","AT51",1.226,1635.9472,326.2076,0.000748851740304569,0.166145864317304,"LC","LC",0.289267369834726
"38","AT52",0,30.1792,13.4192,0,0.307791111600426,"LC","LC",0
"39","AT53",0,16.5452,10.5648,0,0.389701217263003,"LC","LC",0
"40","AT54",0.0348,184.6732,3.0372,0.000188405483249237,0.0161772444781544,"LC","LC",0.032103084393103
"41","AT55",0,741.7612,18.6284,0,0.0244984939299538,"LC","LC",0
"42","AT56",0,466.3452,235.2652,0,0.335321711308726,"LC","LC",0
"43","AT57",18.15,67.5296,51.3496,0.211835722855849,0.374734728072557,"LC","LC",0.843998213519454
"44","AT58",0,2221.3736,30.922,0,0.0137291037641773,"LC","LC",0
"45","AZa1",0,18.2292,0.5012,0,0.0267586383633024,"LC","LC",0
"46","AZa2",0,116.1188,234.7356,0,0.669039920833257,"LC","VU",0
"47","AZa3",0,530.6584,340.1524,0,0.390615734210003,"LC","LC",0
"48","AZa4",0,1248.0948,539.2068,0,0.301687639064386,"LC","LC",0
"49","AZa5",0,2108.3116,1126.8672,0,0.34831682255089,"LC","LC",0
"50","AZa6",1.8036,268.5776,383.0756,0.00667058212627209,0.586229418685367,"LC","VU",0.124794171550438
"51","AZa7",0,858.7452,427.4948,0,0.332360057221047,"LC","LC",0
"52","AZd1",0,0.3296,6.1072,0,0.948794432015909,"LC","CR",0
"53","AZd2",0,9.5772,3.6472,0,0.275793230694776,"LC","LC",0
"54","AZd3",0.5968,214.3156,5.3704,0.00277694539728745,0.0243795702615002,"LC","LC",0.0798882164199838
"55","AZd4",0,26.4176,1.6568,0,0.0590146182999459,"LC","LC",0
"56","AZi1",0,1200.004,163.8396,0,0.120130783324422,"LC","LC",0
"57","AZi3",0,1914.9552,21.5604,0,0.0111336051204545,"LC","LC",0
"58","AZi5",0,4814.3428,362.732,0,0.0700650490891111,"LC","LC",0
"59","AZi6",0,4533.8832,768.9684,0,0.145010356314704,"LC","LC",0
"60","AZi7",0,1983.6664,146.4948,0,0.0687716967147838,"LC","LC",0
"61","AZi8",0,143.378,263.8864,0,0.647948605377735,"LC","VU",0
"62","AZs3",0,12.0184,0.958,0,0.0738263308775932,"LC","LC",0
"63","CB1",0,833.3484,1522.3528,0,0.646241891798501,"LC","VU",0
"64","CB2",0,401.0084,721.1348,0,0.642640618416616,"LC","VU",0
"65","CB3",0,672.9452,3468.8424,0,0.837523005766882,"LC","EN",0
"66","CB4",0,641.22,658.6616,0,0.506708918719982,"LC","VU",0
"67","CB5",0,899.5028,750.9076,0,0.454982348632801,"LC","LC",0
"68","CB6",0,411.2684,709.9328,0,0.633189475715866,"LC","VU",0
"69","Dg1",0,332.9224,3.002,0,0.00893653452979301,"LC","LC",0
"70","Dg10",0,2084.3664,10.3504,0,0.00494119300518333,"LC","LC",0
"71","Dg2",0,361.4112,0.0368,0,0.000101812708882052,"LC","LC",0
"72","Dg3",0,156.4612,3.5964,0,0.0224694110120357,"LC","LC",0
"73","Dg4",0,107.1836,0.612,0,0.0056774116939838,"LC","LC",0
"74","Dg5",0,591.9436,0.3512,0,0.000592947971179217,"LC","LC",0
"75","Dg6",0,8.1024,0.1164,0,0.0141626514819682,"LC","LC",0
"76","Dg7",0,244.1464,2.8744,0,0.0116362670673887,"LC","LC",0
"77","Dg8",0,342.9296,0.2688,0,0.000783220434594101,"LC","LC",0
