"","nlc2022_7class","T_MAPCODE","PROVINCE","n"
"1","1","AT15","Eastern Cape",36437
"2","2","AT15","Eastern Cape",57
"3","3","AT15","Eastern Cape",5
"4","4","AT15","Eastern Cape",3
"5","5","AT15","Eastern Cape",0
"6","6","AT15","Eastern Cape",0
"7","7","AT15","Eastern Cape",0
"8","1","AT16","Eastern Cape",127912
"9","2","AT16","Eastern Cape",3804
"10","3","AT16","Eastern Cape",167
"11","4","AT16","Eastern Cape",216
"12","5","AT16","Eastern Cape",950
"13","6","AT16","Eastern Cape",1374
"14","7","AT16","Eastern Cape",0
"15","1","AT17","Eastern Cape",1441850
"16","2","AT17","Eastern Cape",119096
"17","3","AT17","Eastern Cape",1174
"18","4","AT17","Eastern Cape",12945
"19","5","AT17","Eastern Cape",243145
"20","6","AT17","Eastern Cape",226
"21","7","AT17","Eastern Cape",4571
"22","1","AT18","Eastern Cape",2586776
"23","2","AT18","Eastern Cape",116889
"24","3","AT18","Eastern Cape",1037
"25","4","AT18","Eastern Cape",5308
"26","5","AT18","Eastern Cape",226716
"27","6","AT18","Eastern Cape",36
"28","7","AT18","Eastern Cape",2316
"29","1","AT19","Eastern Cape",2654566
"30","2","AT19","Eastern Cape",17099
"31","3","AT19","Eastern Cape",4752
"32","4","AT19","Eastern Cape",3952
"33","5","AT19","Eastern Cape",14251
"34","6","AT19","Eastern Cape",33
"35","7","AT19","Eastern Cape",15
"36","1","AT20","Eastern Cape",50004
"37","2","AT20","Eastern Cape",5612
"38","3","AT20","Eastern Cape",223
"39","4","AT20","Eastern Cape",31972
"40","5","AT20","Eastern Cape",0
"41","6","AT20","Eastern Cape",975
"42","7","AT20","Eastern Cape",5
"43","1","AT21","Eastern Cape",777244
"44","2","AT21","Eastern Cape",44839
"45","3","AT21","Eastern Cape",22644
"46","4","AT21","Eastern Cape",45993
"47","5","AT21","Eastern Cape",74537
"48","6","AT21","Eastern Cape",187
"49","7","AT21","Eastern Cape",323
"50","1","AT22","Eastern Cape",230992
"51","2","AT22","Eastern Cape",82632
"52","3","AT22","Eastern Cape",8990
"53","4","AT22","Eastern Cape",105798
"54","5","AT22","Eastern Cape",109896
"55","6","AT22","Eastern Cape",292
"56","7","AT22","Eastern Cape",120
"57","1","AT23","Eastern Cape",670699
"58","2","AT23","Eastern Cape",56327
"59","3","AT23","Eastern Cape",309
"60","4","AT23","Eastern Cape",22796
"61","5","AT23","Eastern Cape",27579
"62","6","AT23","Eastern Cape",12
"63","7","AT23","Eastern Cape",260
"64","1","AT24","Eastern Cape",6495116
"65","2","AT24","Eastern Cape",422191
"66","3","AT24","Eastern Cape",5082
"67","4","AT24","Eastern Cape",137061
"68","5","AT24","Eastern Cape",377305
"69","6","AT24","Eastern Cape",133
"70","7","AT24","Eastern Cape",3449
"71","1","AT25","Eastern Cape",5273051
"72","2","AT25","Eastern Cape",22041
"73","3","AT25","Eastern Cape",3690
"74","4","AT25","Eastern Cape",15690
