"","nlc2022_7class","T_MAPCODE","step_deg2","n"
"1","1","AT15","0",36407
"2","2","AT15","0",56
"3","3","AT15","0",5
"4","4","AT15","0",3
"5","5","AT15","0",0
"6","6","AT15","0",0
"7","7","AT15","0",0
"8","1","AT16","0",127912
"9","2","AT16","0",3810
"10","3","AT16","0",167
"11","4","AT16","0",226
"12","5","AT16","0",952
"13","6","AT16","0",1376
"14","7","AT16","0",0
"15","1","AT17","0",1392680
"16","2","AT17","0",118008
"17","3","AT17","0",1160
"18","4","AT17","0",12840
"19","5","AT17","0",242708
"20","6","AT17","0",219
"21","7","AT17","0",4623
"22","1","AT18","0",2106207
"23","2","AT18","0",114402
"24","3","AT18","0",986
"25","4","AT18","0",3997
"26","5","AT18","0",225558
"27","6","AT18","0",20
"28","7","AT18","0",2306
"29","1","AT19","0",2150767
"30","2","AT19","0",16044
"31","3","AT19","0",4293
"32","4","AT19","0",3035
"33","5","AT19","0",13947
"34","6","AT19","0",31
"35","7","AT19","0",15
"36","1","AT20","0",49913
"37","2","AT20","0",5581
"38","3","AT20","0",222
"39","4","AT20","0",32092
"40","5","AT20","0",0
"41","6","AT20","0",965
"42","7","AT20","0",5
"43","1","AT21","0",776902
"44","2","AT21","0",44955
"45","3","AT21","0",22630
"46","4","AT21","0",46011
"47","5","AT21","0",74679
"48","6","AT21","0",194
"49","7","AT21","0",316
"50","1","AT22","0",207051
"51","2","AT22","0",81327
"52","3","AT22","0",8919
"53","4","AT22","0",105217
"54","5","AT22","0",109365
"55","6","AT22","0",289
"56","7","AT22","0",118
"57","1","AT23","0",669860
"58","2","AT23","0",56571
"59","3","AT23","0",312
"60","4","AT23","0",22891
"61","5","AT23","0",27449
"62","6","AT23","0",12
"63","7","AT23","0",260
"64","1","AT24","0",6491461
"65","2","AT24","0",421810
"66","3","AT24","0",5090
"67","4","AT24","0",136899
"68","5","AT24","0",377458
"69","6","AT24","0",133
"70","7","AT24","0",3461
"71","1","AT25","0",5264725
"72","2","AT25","0",21956
"73","3","AT25","0",3686
"74","4","AT25","0",15686
"75","5","AT25","0",7728
"76","6","AT25","0",253
"77","7","AT25","0",0
"78","1","AT26","0",75667
"79","2","AT26","0",5578
"80","3","AT26","0",301
"81","4","AT26","0",714
"82","5","AT26","0",18822
"83","6","AT26","0",0
"84","7","AT26","0",0
"85","1","AT27","0",2045325
"86","2","AT27","0",7546
"87","3","AT27","0",619
"88","4","AT27","0",4510
"89","5","AT27","0",5498
"90","6","AT27","0",850
"91","7","AT27","0",2
"92","1","AT28","0",1780238
"93","2","AT28","0",143291
"94","3","AT28","0",2479
"95","4","AT28","0",59312
"96","5","AT28","0",88261
"97","6","AT28","0",53
"98","7","AT28","0",4148
"99","1","AT29","0",1082967
"100","2","AT29","0",12707
"101","3","AT29","0",1567
