"","T_MAPCODE","deg80","nat","notnat","prcdeg_step","prplost","D3_step","ext_step"
"1","AT15",0.008,14.5884,0,0,0,"LC",1
"2","AT16",0,53.7772,0,0,0,"LC",1
"3","AT17",19.4372,708.8952,0.89,3,0.0012204781421964,"LC",1
"4","AT18",192.2788,981.3904,2.0848,16,0.00177316003177535,"LC",1
"5","AT19",201.6464,875.2528,1.0608,19,0.000984081041968162,"LC",1
"6","AT20",0,35.5112,0,0,0,"LC",1
"7","AT21",0.0352,386.2748,0.0016,0,4.14173428910755e-06,"LC",1
"8","AT22",9.6624,204.9144,0.8572,5,0.00397894482765023,"LC",1
"9","AT23",0.2296,310.942,0.0056,0,1.79961770978079e-05,"LC",1
"10","AT24",1.5504,2974.5248,0.008,0,2.68809689191485e-06,"LC",1
"11","AT25",3.3736,2125.6136,0.0352,0,1.65334098880312e-05,"LC",1
"12","AT26",4e-04,40.4328,0,0,0,"LC",1
"13","AT27",412.686,825.7476,1.4436,33,0.00116430885252185,"LC",0.99999387036071
"14","AT28",195.9712,831.1128,3.4152,19,0.00331412193236055,"LC",1
"15","AT29",334.8324,448.1488,1.64,43,0.00209018058650467,"LC",1
"16","AT30",79.7424,593.3752,0.8988,12,0.00133349871012041,"LC",1
"17","AT31",3.6544,237.0164,0.1636,2,0.000679304949791226,"LC",1
"18","AT32",1347.9576,2234.9952,13.2644,38,0.00368843127717647,"LC",1
"19","AT33",121.484,369.9112,0.474,25,0.000963670829562005,"LC",1
"20","AT34",43.5048,123.2856,0.73,26,0.00435767822903957,"LC",1
"21","AT35",0.0032,30.1432,0,0,0,"LC",1
"22","AT36",0.3348,51.0212,0.062,1,0.00120580341514645,"LC",0.999976661869384
"23","AT37",1.6744,174.662,0.3432,1,0.00194249930382455,"LC",1
"24","AT38",0.3012,1290.4688,0.0084,0,6.50770108951312e-06,"LC",1
"25","AT39",0.1764,245.6732,0.002,0,8.13498874931056e-06,"LC",1
"26","AT40",0,596.2736,0,0,0,"LC",0.999979875010398
"27","AT41",1.9592,305.562,0.0032,1,1.04056783786913e-05,"LC",0.999849117663509
"28","AT42",0.0592,59.7772,0.0112,0,0.000187142007365375,"LC",1
"29","AT43",8e-04,286.184,0,0,0,"LC",1
"30","AT44",0.0484,163.3936,0.002,0,1.22366070336017e-05,"LC",1
"31","AT45",0.1568,696.8768,0.0048,0,6.88627771439852e-06,"LC",1
"32","AT46",0.2792,571.6384,0.0108,0,1.88834826177543e-05,"LC",1
"33","AT47",21.0172,889.3772,0.1524,2,0.00016737195715805,"LC",1
"34","AT48",0,20.3556,0,0,0,"LC",1
"35","AT49",3969.7036,1650.4008,26.8208,71,0.00474962905476418,"EN",1
"36","AT50",27.1224,549.74,0.6992,5,0.001210606799344,"LC",1
"37","AT51",398.1668,1558.0424,7.1716,20,0.00365267909312345,"LC",1
"38","AT52",0,43.5984,0,0,0,"LC",1
"39","AT53",0,27.11,0,0,0,"LC",1
"40","AT54",0,187.7452,0,0,0,"LC",1
"41","AT55",0,760.3896,0,0,0,"LC",1
"42","AT56",0.0044,697.1492,4.4568,0,0.00635224335329123,"LC",0.982490567414622
"43","AT57",2.7276,134.134,0.1676,2,0.00122309697495132,"LC",0.999859883878764
"44","AT58",2.0244,2250.266,0.0052,0,2.3087555647669e-06,"LC",1
"45","AZa1",0,18.2292,0.5012,0,0.0267586383633024,"LC",0
"46","AZa2",2.3104,178.3844,170.1596,1,0.484986364714252,"LC",0.266071624012696
"47","AZa3",0,530.6584,340.1524,0,0.390615734210003,"LC",0
"48","AZa4",0,1248.0948,539.2068,0,0.301687639064386,"LC",0
"49","AZa5",0,2108.3116,1126.8672,0,0.34831682255089,"LC",0
"50","AZa6",2.95,650.4644,0.0424,0,6.48856971111174e-05,"LC",1
"51","AZa7",0,858.7452,427.4948,0,0.332360057221047,"LC",0
"52","AZd1",0,0.3296,6.1072,0,0.948794432015909,"LC",0
"53","AZd2",0,9.5772,3.6472,0,0.275793230694776,"LC",0
"54","AZd3",0.316,218.2892,1.6776,0,0.00761566495432235,"LC",0.746718309373224
"55","AZd4",0,26.5256,1.5488,0,0.0551676972615621,"LC",0.0369304419684837
"56","AZi1",0,1200.004,163.8396,0,0.120130783324422,"LC",0
"57","AZi3",0,1914.9552,21.5604,0,0.0111336051204545,"LC",0
"58","AZi5",0,4814.3428,362.732,0,0.0700650490891111,"LC",0
"59","AZi6",220.9216,4850.3016,231.6284,4,0.043679970225831,"LC",0.422743793169698
"60","AZi7",0,1983.6664,146.4948,0,0.0687716967147838,"LC",0
"61","AZi8",0.062,375.222,31.9804,0,0.0785249091253741,"LC",0.866686113492856
"62","AZs3",0,12.0184,0.958,0,0.0738263308775932,"LC",0
"63","CB1",0,833.3484,1522.3528,0,0.646241891798501,"LC",0
"64","CB2",0,401.0084,721.1348,0,0.642640618416616,"LC",0
"65","CB3",0,672.9452,3468.8424,0,0.837523005766882,"LC",0
